trans  size       overlay GFLOP/s   migrated GFLOP/s   speedup
NN       64          1.9420             2.3693       0.82x
NN      128          1.8175             1.3747       1.32x
NN      256          2.1840             1.3958       1.56x
NN      512          2.1988             1.4106       1.56x
NT       64          2.0792             1.3779       1.51x
NT      128          2.1418             1.3558       1.58x
NT      256          2.1969             1.3762       1.60x
NT      512          2.1995             1.3548       1.62x
NC       64          2.0502             1.2997       1.58x
NC      128          2.1400             1.3351       1.60x
NC      256          2.1856             1.3803       1.58x
NC      512          2.2150             1.3535       1.64x
TN       64          2.1142             2.3272       0.91x
TN      128          2.2345             2.2066       1.01x
TN      256          2.2302             2.2313       1.00x
TN      512          2.2424             2.3600       0.95x
TT       64          2.1519             2.0920       1.03x
TT      128          2.1660             1.9861       1.09x
TT      256          2.2112             1.2529       1.76x
TT      512          2.1224             0.7292       2.91x
TC       64          2.0255             1.7920       1.13x
TC      128          2.1717             1.9907       1.09x
TC      256          2.2201             1.2982       1.71x
TC      512          2.1739             0.7327       2.97x
CN       64          2.0964             2.3391       0.90x
CN      128          2.2385             2.2430       1.00x
CN      256          2.2695             2.3095       0.98x
CN      512          2.1532             2.3674       0.91x
CT       64          2.2130             1.9307       1.15x
CT      128          2.1788             1.9938       1.09x
CT      256          2.2137             1.3204       1.68x
CT      512          2.2346             0.7484       2.99x
CC       64          2.1308             2.0919       1.02x
CC      128          2.1766             1.9899       1.09x
CC      256          2.2158             1.3226       1.68x
CC      512          2.2336             0.7521       2.97x
wrote bench_egemm.json
