trans  size       overlay GFLOP/s   migrated GFLOP/s   speedup
NN      128          0.0555             0.0520       1.07x
NN      256          0.0576             0.0547       1.05x
NT      128          0.0561             0.0546       1.03x
NT      256          0.0579             0.0566       1.02x
NC      128          0.0562             0.0547       1.03x
NC      256          0.0579             0.0565       1.03x
TN      128          0.0592             0.0603       0.98x
TN      256          0.0618             0.0619       1.00x
TT      128          0.0600             0.0604       0.99x
TT      256          0.0605             0.0615       0.98x
TC      128          0.0599             0.0602       0.99x
TC      256          0.0600             0.0612       0.98x
CN      128          0.0601             0.0603       1.00x
CN      256          0.0617             0.0605       1.02x
CT      128          0.0600             0.0601       1.00x
CT      256          0.0604             0.0615       0.98x
CC      128          0.0593             0.0602       0.98x
CC      256          0.0599             0.0615       0.97x
wrote bench_qgemm.json
