trans  size       overlay GFLOP/s   migrated GFLOP/s   speedup
NN       64          2.4157             0.1215      19.88x
NN      128          3.4746             0.1222      28.42x
NN      256          3.7776             0.1228      30.76x
NT       64          2.6354             0.1216      21.68x
NT      128          3.6521             0.1225      29.81x
NT      256          3.8536             0.1227      31.40x
NC       64          2.5716             0.1216      21.15x
NC      128          3.6575             0.1224      29.87x
NC      256          3.8562             0.1227      31.42x
TN       64          2.5137             0.1238      20.30x
TN      128          3.5860             0.1255      28.58x
TN      256          3.8201             0.1263      30.24x
TT       64          2.5356             0.1236      20.51x
TT      128          3.6081             0.1256      28.72x
TT      256          3.8535             0.1254      30.72x
TC       64          2.5375             0.1237      20.51x
TC      128          3.6327             0.1256      28.92x
TC      256          3.8518             0.1255      30.70x
CN       64          2.5215             0.1238      20.36x
CN      128          3.6170             0.1258      28.74x
CN      256          3.8564             0.1268      30.42x
CT       64          2.5609             0.1237      20.70x
CT      128          3.6237             0.1256      28.85x
CT      256          3.8587             0.1255      30.76x
CC       64          2.5381             0.1237      20.51x
CC      128          3.6578             0.1257      29.11x
CC      256          3.8567             0.1255      30.74x
wrote bench_mgemm.json
