target	routine	key	size	iters	overlay_GFs	migrated_GFs	ratio
kind10	easum	-	64	200	1.6728	1.6095	1.039
kind10	easum	-	128	200	1.8205	1.5127	1.203
kind10	easum	-	256	200	1.8954	1.4105	1.344
kind10	easum	-	512	200	1.8984	1.4216	1.335
kind10	easum	-	1024	200	1.4470	1.4240	1.016
kind10	easum	-	2048	200	1.9592	1.4256	1.374
kind10	easum	-	4096	200	1.9427	1.4275	1.361
kind10	easum	-	16384	200	1.8666	1.4208	1.314
kind10	easum	-	65536	200	1.7466	1.4117	1.237
kind10	eaxpy	-	64	200	1.2537	1.2597	0.995
kind10	eaxpy	-	128	200	1.2543	1.1444	1.096
kind10	eaxpy	-	256	200	1.3033	1.3048	0.999
kind10	eaxpy	-	512	200	1.3035	1.3040	1.000
kind10	eaxpy	-	1024	200	1.3117	1.2925	1.015
kind10	eaxpy	-	2048	200	1.2955	1.3160	0.984
kind10	eaxpy	-	4096	200	1.3145	1.3066	1.006
kind10	eaxpy	-	16384	200	1.3037	1.2880	1.012
kind10	eaxpy	-	65536	200	1.3059	1.3074	0.999
kind10	ecopy	-	64	200	115.4779	22.4561	5.142
kind10	ecopy	-	128	200	131.8102	23.6592	5.571
kind10	ecopy	-	256	200	130.4875	23.9841	5.441
kind10	ecopy	-	512	200	133.9109	23.7470	5.639
kind10	ecopy	-	1024	200	77.0849	20.6600	3.731
kind10	ecopy	-	2048	200	55.4070	20.3929	2.717
kind10	ecopy	-	4096	200	50.3233	20.6589	2.436
kind10	ecopy	-	16384	200	34.7391	18.7193	1.856
kind10	ecopy	-	65536	200	34.1539	18.6886	1.828
kind10	edot	-	64	200	2.4397	2.2166	1.101
kind10	edot	-	128	200	2.5517	2.1500	1.187
kind10	edot	-	256	200	2.5423	2.1436	1.186
kind10	edot	-	512	200	2.6121	2.1229	1.230
kind10	edot	-	1024	200	2.6466	2.0656	1.281
kind10	edot	-	2048	200	2.5387	2.1373	1.188
kind10	edot	-	4096	200	2.4796	2.0736	1.196
kind10	edot	-	16384	200	2.1902	1.9850	1.103
kind10	edot	-	65536	200	2.1649	1.9639	1.102
kind10	egbmv	N	128	20	1.1936	1.2025	0.993
kind10	egbmv	N	256	20	1.1677	1.1488	1.016
kind10	egbmv	N	512	20	1.1329	1.1625	0.975
kind10	egbmv	N	1024	20	1.1466	1.1522	0.995
kind10	egbmv	T	128	20	2.1530	1.8686	1.152
kind10	egbmv	T	256	20	2.1105	2.0830	1.013
kind10	egbmv	T	512	20	1.9892	2.0389	0.976
kind10	egbmv	T	1024	20	1.9924	1.9731	1.010
kind10	egemm	NN	64	10	2.6358	1.7958	1.468
kind10	egemm	NN	128	10	2.7896	1.8247	1.529
kind10	egemm	NN	256	10	2.8732	1.8476	1.555
kind10	egemm	NN	512	10	2.9652	1.9082	1.554
kind10	egemm	TN	64	10	2.0199	2.2136	0.912
kind10	egemm	TN	128	10	2.0499	2.0471	1.001
kind10	egemm	TN	256	10	2.0477	2.1069	0.972
kind10	egemm	TN	512	10	2.0323	2.0604	0.986
kind10	egemm	NT	64	10	2.8256	1.6816	1.680
kind10	egemm	NT	128	10	2.8583	1.8324	1.560
kind10	egemm	NT	256	10	2.8809	1.8306	1.574
kind10	egemm	NT	512	10	2.9211	1.8617	1.569
kind10	egemm	TT	64	10	2.6544	1.9558	1.357
kind10	egemm	TT	128	10	2.7693	1.3708	2.020
kind10	egemm	TT	256	10	2.8775	1.0548	2.728
kind10	egemm	TT	512	10	2.9647	1.0566	2.806
kind10	egemmtr	UNN	64	10	1.0571	1.5384	0.687
kind10	egemmtr	UNN	128	10	1.5873	1.4788	1.073
kind10	egemmtr	UNN	256	10	2.0496	1.6911	1.212
kind10	egemmtr	UNN	512	10	2.4190	1.6991	1.424
kind10	egemmtr	UTN	64	10	2.1056	2.1648	0.973
kind10	egemmtr	UTN	128	10	1.9949	2.0468	0.975
kind10	egemmtr	UTN	256	10	2.0371	2.0193	1.009
kind10	egemmtr	UTN	512	10	2.0640	2.0882	0.988
kind10	egemmtr	UNT	64	10	1.1437	1.5937	0.718
kind10	egemmtr	UNT	128	10	1.6110	1.6543	0.974
kind10	egemmtr	UNT	256	10	2.0043	1.5950	1.257
kind10	egemmtr	UNT	512	10	2.2908	1.6624	1.378
kind10	egemmtr	LNN	64	10	1.2024	1.3066	0.920
kind10	egemmtr	LNN	128	10	1.7105	1.6258	1.052
kind10	egemmtr	LNN	256	10	1.9766	1.6381	1.207
kind10	egemmtr	LNN	512	10	2.4054	1.7187	1.400
kind10	egemmtr	LTN	64	10	2.1722	2.2473	0.967
kind10	egemmtr	LTN	128	10	2.0928	2.0994	0.997
kind10	egemmtr	LTN	256	10	1.9927	2.0271	0.983
kind10	egemmtr	LTN	512	10	2.0894	2.0345	1.027
kind10	egemmtr	LNT	64	10	1.1691	1.6293	0.718
kind10	egemmtr	LNT	128	10	1.6773	1.6842	0.996
kind10	egemmtr	LNT	256	10	2.1441	1.7497	1.225
kind10	egemmtr	LNT	512	10	2.4480	1.7241	1.420
kind10	egemv	N	128	20	1.6729	1.9488	0.858
kind10	egemv	N	256	20	1.5985	1.8372	0.870
kind10	egemv	N	512	20	1.9090	1.9013	1.004
kind10	egemv	N	1024	20	1.7493	1.7474	1.001
kind10	egemv	N	2048	20	1.6843	1.7060	0.987
kind10	egemv	T	128	20	2.4754	2.1949	1.128
kind10	egemv	T	256	20	2.6193	2.1995	1.191
kind10	egemv	T	512	20	2.6671	2.2178	1.203
kind10	egemv	T	1024	20	1.8482	1.6838	1.098
kind10	egemv	T	2048	20	1.7300	1.5936	1.086
kind10	eger	-	128	20	0.8906	0.9027	0.987
kind10	eger	-	256	20	0.9147	0.9262	0.988
kind10	eger	-	512	20	0.9120	0.9191	0.992
kind10	eger	-	1024	20	0.7098	0.7047	1.007
kind10	erot	-	64	200	1.6533	1.6801	0.984
kind10	erot	-	128	200	1.6962	1.5045	1.127
kind10	erot	-	256	200	1.7058	1.7052	1.000
kind10	erot	-	512	200	1.6590	1.5761	1.053
kind10	erot	-	1024	200	1.5583	1.5680	0.994
kind10	erot	-	2048	200	1.5073	1.5364	0.981
kind10	erot	-	4096	200	1.5101	1.4582	1.036
kind10	erot	-	16384	200	1.3952	1.3945	1.001
kind10	erot	-	65536	200	1.4182	1.4086	1.007
kind10	erotg	-	100000	100000	0.6858	0.5257	1.304
kind10	erotm	-	64	200	1.2188	1.2310	0.990
kind10	erotm	-	128	200	1.2462	1.2480	0.999
kind10	erotm	-	256	200	0.9623	1.1752	0.819
kind10	erotm	-	512	200	1.2295	1.2163	1.011
kind10	erotm	-	1024	200	1.1612	1.1006	1.055
kind10	erotm	-	2048	200	1.0448	1.0552	0.990
kind10	erotm	-	4096	200	1.0665	1.0678	0.999
kind10	erotm	-	16384	200	1.0093	1.0384	0.972
kind10	erotm	-	65536	200	1.0449	1.0443	1.001
kind10	erotmg	-	100000	100000	0.7134	0.6338	1.126
kind10	esbmv	U	128	20	1.8801	1.8671	1.007
kind10	esbmv	U	256	20	1.8291	1.8191	1.005
kind10	esbmv	U	512	20	1.8067	1.7784	1.016
kind10	esbmv	U	1024	20	1.6621	1.6619	1.000
kind10	esbmv	L	128	20	1.7880	1.7975	0.995
kind10	esbmv	L	256	20	1.7422	1.7536	0.994
kind10	esbmv	L	512	20	1.6652	1.7321	0.961
kind10	esbmv	L	1024	20	1.5914	1.7215	0.924
kind10	escal	-	64	200	0.7204	0.7131	1.010
kind10	escal	-	128	200	0.7508	0.7469	1.005
kind10	escal	-	256	200	0.7616	0.7594	1.003
kind10	escal	-	512	200	0.7554	0.7550	1.001
kind10	escal	-	1024	200	0.6316	0.7234	0.873
kind10	escal	-	2048	200	0.6037	0.5891	1.025
kind10	escal	-	4096	200	0.6279	0.6382	0.984
kind10	escal	-	16384	200	0.5727	0.5794	0.988
kind10	escal	-	65536	200	0.5800	0.5840	0.993
kind10	espmv	U	128	20	1.8558	1.6418	1.130
kind10	espmv	U	256	20	1.8288	1.8342	0.997
kind10	espmv	U	512	20	1.8924	1.9104	0.991
kind10	espmv	U	1024	20	1.8992	1.9058	0.997
kind10	espmv	L	128	20	1.8365	1.8215	1.008
kind10	espmv	L	256	20	1.8817	1.8692	1.007
kind10	espmv	L	512	20	1.9144	1.8558	1.032
kind10	espmv	L	1024	20	1.8947	1.9505	0.971
kind10	espr	U	128	20	1.0172	1.0125	1.005
kind10	espr	U	256	20	0.9009	0.9487	0.950
kind10	espr	U	512	20	0.9597	0.9548	1.005
kind10	espr	U	1024	20	0.8056	0.8029	1.003
kind10	espr	L	128	20	0.8863	0.8816	1.005
kind10	espr	L	256	20	0.8577	0.8538	1.005
kind10	espr	L	512	20	0.8806	0.8817	0.999
kind10	espr	L	1024	20	0.7262	0.7294	0.996
kind10	eswap	-	64	200	24.5836	24.5409	1.002
kind10	eswap	-	128	200	24.8544	25.1907	0.987
kind10	eswap	-	256	200	18.7803	25.1684	0.746
kind10	eswap	-	512	200	24.0342	24.0541	0.999
kind10	eswap	-	1024	200	22.4501	19.7430	1.137
kind10	eswap	-	2048	200	20.9157	20.1553	1.038
kind10	eswap	-	4096	200	19.8560	20.4931	0.969
kind10	eswap	-	16384	200	18.1253	18.8279	0.963
kind10	eswap	-	65536	200	19.6934	19.4223	1.014
kind10	esymm	LU	64	10	1.5687	1.7061	0.919
kind10	esymm	LU	128	10	2.0727	1.8652	1.111
kind10	esymm	LU	256	10	2.2669	1.9638	1.154
kind10	esymm	LU	512	10	2.3235	1.9772	1.175
kind10	esymm	LL	64	10	1.8548	1.8552	1.000
kind10	esymm	LL	128	10	2.1623	1.9215	1.125
kind10	esymm	LL	256	10	2.2909	1.9688	1.164
kind10	esymm	LL	512	10	2.2804	1.9809	1.151
kind10	esymm	RU	64	10	1.2584	1.2527	1.005
kind10	esymm	RU	128	10	1.7626	1.2395	1.422
kind10	esymm	RU	256	10	2.1921	1.2766	1.717
kind10	esymm	RU	512	10	2.4578	1.2860	1.911
kind10	esymm	RL	64	10	1.2581	1.2813	0.982
kind10	esymm	RL	128	10	1.7687	1.2602	1.404
kind10	esymm	RL	256	10	2.1935	1.2817	1.711
kind10	esymm	RL	512	10	2.4936	1.2665	1.969
kind10	esymv	U	128	20	1.7064	1.9279	0.885
kind10	esymv	U	256	20	1.7215	1.8412	0.935
kind10	esymv	U	512	20	1.8890	1.9026	0.993
kind10	esymv	U	1024	20	1.8775	1.8587	1.010
kind10	esymv	L	128	20	1.8165	1.8723	0.970
kind10	esymv	L	256	20	1.9233	1.9146	1.005
kind10	esymv	L	512	20	1.9543	1.9555	0.999
kind10	esymv	L	1024	20	1.8617	1.8788	0.991
kind10	esyr	U	128	20	0.7371	0.8071	0.913
kind10	esyr	U	256	20	0.7914	0.7577	1.044
kind10	esyr	U	512	20	0.7456	0.7434	1.003
kind10	esyr	U	1024	20	0.5723	0.5684	1.007
kind10	esyr	L	128	20	0.7304	0.7377	0.990
kind10	esyr	L	256	20	0.7244	0.7256	0.998
kind10	esyr	L	512	20	0.7090	0.7061	1.004
kind10	esyr	L	1024	20	0.5183	0.5200	0.997
kind10	esyrk	UN	64	10	1.0164	1.1476	0.886
kind10	esyrk	UN	128	10	1.5999	1.1930	1.341
kind10	esyrk	UN	256	10	2.1630	1.2623	1.714
kind10	esyrk	UN	512	10	2.5601	1.2792	2.001
kind10	esyrk	UT	64	10	2.6203	2.2707	1.154
kind10	esyrk	UT	128	10	2.4290	2.1529	1.128
kind10	esyrk	UT	256	10	2.3117	2.1706	1.065
kind10	esyrk	UT	512	10	2.2563	2.1770	1.036
kind10	esyrk	LN	64	10	1.1886	1.1965	0.993
kind10	esyrk	LN	128	10	1.7086	1.1468	1.490
kind10	esyrk	LN	256	10	1.9564	1.1804	1.657
kind10	esyrk	LN	512	10	2.5693	1.2820	2.004
kind10	esyrk	LT	64	10	2.6788	1.8028	1.486
kind10	esyrk	LT	128	10	2.4782	2.2010	1.126
kind10	esyrk	LT	256	10	2.3176	2.1766	1.065
kind10	esyrk	LT	512	10	2.2615	2.1853	1.035
kind10	etbmv	UNN	128	20	1.1692	1.1937	0.979
kind10	etbmv	UNN	256	20	1.1466	1.1714	0.979
kind10	etbmv	UNN	512	20	1.1356	0.9602	1.183
kind10	etbmv	UNN	1024	20	1.0138	1.1535	0.879
kind10	etbmv	UTN	128	20	2.4140	2.3754	1.016
kind10	etbmv	UTN	256	20	1.7253	2.3262	0.742
kind10	etbmv	UTN	512	20	2.2641	2.2344	1.013
kind10	etbmv	UTN	1024	20	1.8309	2.1197	0.864
kind10	etbmv	LNN	128	20	1.1579	1.2022	0.963
kind10	etbmv	LNN	256	20	1.1374	0.8256	1.378
kind10	etbmv	LNN	512	20	1.1272	1.1604	0.971
kind10	etbmv	LNN	1024	20	1.1200	1.0800	1.037
kind10	etbmv	LTN	128	20	2.4930	2.4800	1.005
kind10	etbmv	LTN	256	20	2.4226	2.4181	1.002
kind10	etbmv	LTN	512	20	2.0056	2.1890	0.916
kind10	etbmv	LTN	1024	20	2.2873	2.2886	0.999
kind10	etbsv	UNN	128	20	0.9982	1.1906	0.838
kind10	etbsv	UNN	256	20	0.9780	0.8895	1.100
kind10	etbsv	UNN	512	20	0.9217	0.9793	0.941
kind10	etbsv	UNN	1024	20	0.0220	0.0226	0.976
kind10	etbsv	UTN	128	20	2.1431	2.1262	1.008
kind10	etbsv	UTN	256	20	2.0878	2.0649	1.011
kind10	etbsv	UTN	512	20	1.9560	1.9040	1.027
kind10	etbsv	UTN	1024	20	0.0233	0.0233	1.000
kind10	etbsv	LNN	128	20	1.1329	1.1417	0.992
kind10	etbsv	LNN	256	20	1.1079	1.1157	0.993
kind10	etbsv	LNN	512	20	0.5235	0.5259	0.995
kind10	etbsv	LNN	1024	20	0.0235	0.0238	0.987
kind10	etbsv	LTN	128	20	2.2286	2.1752	1.025
kind10	etbsv	LTN	256	20	2.0952	2.0501	1.022
kind10	etbsv	LTN	512	20	0.5012	0.5007	1.001
kind10	etbsv	LTN	1024	20	0.0244	0.0250	0.975
kind10	etpmv	UNN	128	20	1.2353	0.9123	1.354
kind10	etpmv	UNN	256	20	1.1606	1.0669	1.088
kind10	etpmv	UNN	512	20	1.2202	1.0743	1.136
kind10	etpmv	UNN	1024	20	1.2040	1.1246	1.071
kind10	etpmv	UTN	128	20	2.1412	2.1448	0.998
kind10	etpmv	UTN	256	20	2.1043	2.1084	0.998
kind10	etpmv	UTN	512	20	2.1190	2.1326	0.994
kind10	etpmv	UTN	1024	20	1.9770	1.9984	0.989
kind10	etpmv	LNN	128	20	1.0510	1.0504	1.001
kind10	etpmv	LNN	256	20	1.0805	1.0813	0.999
kind10	etpmv	LNN	512	20	1.1030	1.1032	1.000
kind10	etpmv	LNN	1024	20	1.0980	1.0989	0.999
kind10	etpmv	LTN	128	20	2.0893	2.1711	0.962
kind10	etpmv	LTN	256	20	2.1215	2.1558	0.984
kind10	etpmv	LTN	512	20	2.1551	2.1750	0.991
kind10	etpmv	LTN	1024	20	2.0777	2.1214	0.979
kind10	etpsv	UNN	128	20	1.2132	1.2105	1.002
kind10	etpsv	UNN	256	20	1.1755	1.1815	0.995
kind10	etpsv	UNN	512	20	1.2220	1.2257	0.997
kind10	etpsv	UNN	1024	20	0.0695	0.0742	0.937
kind10	etpsv	UTN	128	20	2.1867	2.0750	1.054
kind10	etpsv	UTN	256	20	2.1649	2.1775	0.994
kind10	etpsv	UTN	512	20	2.2003	2.2024	0.999
kind10	etpsv	UTN	1024	20	0.0636	0.0635	1.003
kind10	etpsv	LNN	128	20	1.1969	1.2031	0.995
kind10	etpsv	LNN	256	20	1.2491	1.2499	0.999
kind10	etpsv	LNN	512	20	1.2656	1.2568	1.007
kind10	etpsv	LNN	1024	20	0.0578	0.0578	1.001
kind10	etpsv	LTN	128	20	2.1194	2.1208	0.999
kind10	etpsv	LTN	256	20	2.0678	2.0721	0.998
kind10	etpsv	LTN	512	20	2.1026	2.1027	1.000
kind10	etpsv	LTN	1024	20	0.0599	0.0601	0.998
kind10	etrmm	LUNN	64	10	0.9936	0.9808	1.013
kind10	etrmm	LUNN	128	10	1.4969	1.0699	1.399
kind10	etrmm	LUNN	256	10	2.0162	1.1061	1.823
kind10	etrmm	LUNN	512	10	2.4401	1.1243	2.170
