routine	key	size	epopenblas-omp1	epopenblas-omp4	parallel-blas-omp1	parallel-blas-omp4	migrated-serial	mig_par_omp1	mig_par_omp4	mig_ep_omp1	mig_ep_omp4
easum	-	64	1.6780	1.6408	1.7361	1.7380	1.6277	1.6277	1.6381	1.6381	1.6322
easum	-	128	1.8169	1.8197	1.8500	1.8524	1.5123	1.5123	1.5121	1.5294	1.5196
easum	-	256	1.7115	1.8974	1.9129	1.9137	1.4813	1.4813	1.4797	1.4812	1.4719
easum	-	512	1.9358	1.9368	1.9086	1.9077	1.4252	1.4252	1.4253	1.4266	1.4220
easum	-	1024	1.7966	1.9398	1.9450	1.9401	1.4294	1.4294	1.4295	1.2550	1.3810
easum	-	2048	1.2153	1.9595	1.9619	1.9610	1.4280	1.4280	1.4271	1.2640	1.4273
easum	-	4096	1.3805	1.9304	1.9558	1.9547	1.4285	1.4285	1.4258	1.2148	1.4286
easum	-	16384	1.7996	0.3753	1.8694	1.9113	1.4161	1.4161	1.4183	1.4024	1.4115
easum	-	65536	1.8035	0.8951	1.7253	1.7355	1.4115	1.4115	1.4112	1.3953	1.4107
eaxpy	-	64	1.2339	1.2333	1.2847	1.2569	1.2864	1.2864	1.2574	1.2584	1.2577
eaxpy	-	128	1.2997	1.2996	1.2832	1.2547	1.3185	1.3185	1.2888	1.2889	1.2887
eaxpy	-	256	1.3351	1.3348	0.9655	1.3040	1.3042	1.3042	1.3039	1.2273	1.3040
eaxpy	-	512	1.3537	1.3539	1.3028	0.8664	1.3039	1.3039	0.8553	1.3040	1.3040
eaxpy	-	1024	1.3438	1.3398	1.3105	0.7934	1.2967	1.2967	0.8644	1.2972	1.3121
eaxpy	-	2048	1.3657	1.3443	1.2932	0.8037	1.3147	1.3147	0.8421	1.2883	1.3160
eaxpy	-	4096	1.2762	1.3657	1.3131	0.8608	1.3127	1.3127	1.0638	1.3041	1.3153
eaxpy	-	16384	1.3068	0.5517	1.2969	1.3000	1.2636	1.2636	1.3032	1.3025	1.3088
eaxpy	-	65536	1.3513	0.9901	1.2952	1.3042	1.2969	1.2969	1.3061	1.3064	1.2995
ecopy	-	64	21.6014	21.5581	83.6807	82.2295	21.6525	21.6525	22.0379	22.0142	22.0286
ecopy	-	128	23.5412	23.7219	139.2393	140.4229	24.1043	24.1043	24.0127	23.7189	24.0929
ecopy	-	256	24.8274	24.8291	182.0360	180.5160	25.1229	25.1229	25.1062	25.0793	25.1350
ecopy	-	512	25.4807	24.5274	217.9847	217.0903	25.3707	25.3707	25.3561	25.3656	25.3861
ecopy	-	1024	25.1948	25.6536	132.2199	148.1455	25.5242	25.5242	25.5079	25.5448	25.5496
ecopy	-	2048	25.4050	25.8949	107.2143	107.2798	25.6465	25.6465	25.7798	24.9621	25.7782
ecopy	-	4096	25.9276	25.9304	104.2889	106.6823	25.2384	25.2384	25.5453	25.7782	25.7853
ecopy	-	16384	25.4989	9.1688	69.8470	69.8371	25.7570	25.7570	25.3608	25.7992	25.8370
ecopy	-	65536	25.8871	17.6163	67.6785	67.2090	25.7761	25.7761	25.7726	25.5149	25.8612
edot	-	64	2.5054	2.5460	2.4966	2.4219	2.2833	2.2833	2.2207	2.2553	2.3074
edot	-	128	2.6670	2.7260	2.5968	2.5384	2.2207	2.2207	2.1412	2.1743	2.2153
edot	-	256	2.7366	2.8108	1.4317	2.6054	1.7765	1.7765	2.1429	2.1545	2.2123
edot	-	512	2.7803	1.8322	2.6051	2.6099	1.3495	1.3495	2.1207	2.0210	2.1736
edot	-	1024	2.7406	2.8047	2.7068	2.5677	2.1807	2.1807	2.1293	2.1338	2.1830
edot	-	2048	2.2767	2.5130	2.5694	2.3130	1.9732	1.9732	1.5077	2.0796	1.9928
edot	-	4096	2.1825	2.3212	2.3544	2.3971	2.0955	2.0955	2.1392	2.0969	2.0449
edot	-	16384	2.0096	0.6431	2.1541	2.1776	1.9689	1.9689	1.9796	1.9470	2.0187
edot	-	65536	2.0142	1.2990	2.0886	2.0712	1.9733	1.9733	1.9631	1.7892	1.9324
egbmv	N	128	1.0497	1.0859	1.0509	1.1898	1.1485	1.1485	1.1856	1.1910	1.1796
egbmv	N	256	1.0306	0.9733	1.1709	1.1627	1.1799	1.1799	1.1607	1.1629	1.1822
egbmv	N	512	1.0026	0.4741	1.1604	1.1465	1.1006	1.1006	1.1475	1.1501	1.0483
