run_id	run_binary	omp	taskset	routine	key	size	iters	subject_GFs	migrated_GFs
epopenblas-omp1	ep_	1	0	easum	-	64	5	1.3337	1.3389
epopenblas-omp1	ep_	1	0	easum	-	128	5	1.6160	1.3792
epopenblas-omp1	ep_	1	0	easum	-	256	5	1.7680	1.4239
epopenblas-omp1	ep_	1	0	easum	-	512	5	1.8879	1.4067
epopenblas-omp1	ep_	1	0	easum	-	1024	5	1.9234	1.4218
epopenblas-omp1	ep_	1	0	easum	-	2048	5	1.9435	1.4250
epopenblas-omp1	ep_	1	0	easum	-	4096	5	1.3507	1.2847
epopenblas-omp1	ep_	1	0	easum	-	16384	5	0.8797	1.2416
epopenblas-omp1	ep_	1	0	easum	-	65536	5	1.7592	1.4164
epopenblas-omp4	ep_	4	0	easum	-	64	5	1.3009	1.2598
epopenblas-omp4	ep_	4	0	easum	-	128	5	1.6411	1.3946
epopenblas-omp4	ep_	4	0	easum	-	256	5	1.7826	1.3837
epopenblas-omp4	ep_	4	0	easum	-	512	5	1.8810	1.4074
epopenblas-omp4	ep_	4	0	easum	-	1024	5	1.9212	1.4206
epopenblas-omp4	ep_	4	0	easum	-	2048	5	1.9423	1.3776
epopenblas-omp4	ep_	4	0	easum	-	4096	5	1.9553	1.4259
epopenblas-omp4	ep_	4	0	easum	-	16384	5	0.3551	1.4232
epopenblas-omp4	ep_	4	0	easum	-	65536	5	0.8784	1.3439
parallel-blas-omp1	par_	1	0	easum	-	64	5	1.3389	1.4162
parallel-blas-omp1	par_	1	0	easum	-	128	5	1.6756	1.3823
parallel-blas-omp1	par_	1	0	easum	-	256	5	1.8207	1.4051
parallel-blas-omp1	par_	1	0	easum	-	512	5	1.8565	1.4097
parallel-blas-omp1	par_	1	0	easum	-	1024	5	1.9335	1.4187
parallel-blas-omp1	par_	1	0	easum	-	2048	5	1.9501	1.4197
parallel-blas-omp1	par_	1	0	easum	-	4096	5	1.9005	1.4270
parallel-blas-omp1	par_	1	0	easum	-	16384	5	1.8856	1.4212
parallel-blas-omp1	par_	1	0	easum	-	65536	5	1.8037	1.3849
parallel-blas-omp4	par_	4	0	easum	-	64	5	1.3441	1.4414
parallel-blas-omp4	par_	4	0	easum	-	128	5	1.6411	1.3474
parallel-blas-omp4	par_	4	0	easum	-	256	5	1.8105	1.4143
parallel-blas-omp4	par_	4	0	easum	-	512	5	1.8537	1.4042
parallel-blas-omp4	par_	4	0	easum	-	1024	5	1.9255	1.4148
parallel-blas-omp4	par_	4	0	easum	-	2048	5	1.9306	1.4260
parallel-blas-omp4	par_	4	0	easum	-	4096	5	1.9673	1.4241
parallel-blas-omp4	par_	4	0	easum	-	16384	5	1.9071	1.4249
parallel-blas-omp4	par_	4	0	easum	-	65536	5	1.6999	1.4163
epopenblas-omp1	ep_	1	0	eaxpy	-	64	5	1.1169	1.1451
epopenblas-omp1	ep_	1	0	eaxpy	-	128	5	1.2476	1.2284
epopenblas-omp1	ep_	1	0	eaxpy	-	256	5	1.3088	1.2813
epopenblas-omp1	ep_	1	0	eaxpy	-	512	5	1.3442	1.2910
epopenblas-omp1	ep_	1	0	eaxpy	-	1024	5	1.3481	1.3053
epopenblas-omp1	ep_	1	0	eaxpy	-	2048	5	1.3593	1.3156
epopenblas-omp1	ep_	1	0	eaxpy	-	4096	5	1.3358	1.3128
epopenblas-omp1	ep_	1	0	eaxpy	-	16384	5	1.3561	1.3093
epopenblas-omp1	ep_	1	0	eaxpy	-	65536	5	1.3601	1.2976
epopenblas-omp4	ep_	4	0	eaxpy	-	64	5	1.0997	1.1111
epopenblas-omp4	ep_	4	0	eaxpy	-	128	5	1.2562	1.2155
epopenblas-omp4	ep_	4	0	eaxpy	-	256	5	1.2890	1.2883
epopenblas-omp4	ep_	4	0	eaxpy	-	512	5	1.3417	1.2900
epopenblas-omp4	ep_	4	0	eaxpy	-	1024	5	1.3532	1.3083
epopenblas-omp4	ep_	4	0	eaxpy	-	2048	5	1.3615	1.3129
epopenblas-omp4	ep_	4	0	eaxpy	-	4096	5	1.3592	1.3143
epopenblas-omp4	ep_	4	0	eaxpy	-	16384	5	0.5660	1.3116
epopenblas-omp4	ep_	4	0	eaxpy	-	65536	5	0.9616	1.2926
parallel-blas-omp1	par_	1	0	eaxpy	-	64	5	1.0828	1.1247
parallel-blas-omp1	par_	1	0	eaxpy	-	128	5	1.2076	1.2392
parallel-blas-omp1	par_	1	0	eaxpy	-	256	5	1.2555	1.2852
parallel-blas-omp1	par_	1	0	eaxpy	-	512	5	1.2897	1.2939
parallel-blas-omp1	par_	1	0	eaxpy	-	1024	5	1.3100	1.3068
parallel-blas-omp1	par_	1	0	eaxpy	-	2048	5	1.3079	1.3150
parallel-blas-omp1	par_	1	0	eaxpy	-	4096	5	1.3162	1.3164
parallel-blas-omp1	par_	1	0	eaxpy	-	16384	5	1.3099	1.2657
parallel-blas-omp1	par_	1	0	eaxpy	-	65536	5	1.3101	1.2977
parallel-blas-omp4	par_	4	0	eaxpy	-	64	5	1.0997	1.1093
parallel-blas-omp4	par_	4	0	eaxpy	-	128	5	1.1918	1.2248
parallel-blas-omp4	par_	4	0	eaxpy	-	256	5	1.2800	1.2825
parallel-blas-omp4	par_	4	0	eaxpy	-	512	5	1.2839	1.2893
parallel-blas-omp4	par_	4	0	eaxpy	-	1024	5	1.3091	1.3073
parallel-blas-omp4	par_	4	0	eaxpy	-	2048	5	1.3108	1.3143
parallel-blas-omp4	par_	4	0	eaxpy	-	4096	5	1.3162	1.3167
parallel-blas-omp4	par_	4	0	eaxpy	-	16384	5	1.3107	1.3101
parallel-blas-omp4	par_	4	0	eaxpy	-	65536	5	1.2925	1.3089
epopenblas-omp1	ep_	1	0	ecopy	-	64	5	19.6913	20.3566
epopenblas-omp1	ep_	1	0	ecopy	-	128	5	23.0626	23.4813
epopenblas-omp1	ep_	1	0	ecopy	-	256	5	24.4370	24.6579
epopenblas-omp1	ep_	1	0	ecopy	-	512	5	25.3782	25.0129
epopenblas-omp1	ep_	1	0	ecopy	-	1024	5	25.5877	25.4572
epopenblas-omp1	ep_	1	0	ecopy	-	2048	5	25.8604	25.7608
epopenblas-omp1	ep_	1	0	ecopy	-	4096	5	25.9805	25.8209
epopenblas-omp1	ep_	1	0	ecopy	-	16384	5	26.0364	25.9020
epopenblas-omp1	ep_	1	0	ecopy	-	65536	5	26.1154	25.9445
epopenblas-omp4	ep_	4	0	ecopy	-	64	5	20.0778	21.6067
epopenblas-omp4	ep_	4	0	ecopy	-	128	5	22.5079	23.4063
epopenblas-omp4	ep_	4	0	ecopy	-	256	5	24.1800	24.6614
epopenblas-omp4	ep_	4	0	ecopy	-	512	5	25.2290	25.1749
epopenblas-omp4	ep_	4	0	ecopy	-	1024	5	25.6441	25.4812
epopenblas-omp4	ep_	4	0	ecopy	-	2048	5	25.8362	25.7330
epopenblas-omp4	ep_	4	0	ecopy	-	4096	5	25.9981	25.7449
epopenblas-omp4	ep_	4	0	ecopy	-	16384	5	9.3901	25.8795
epopenblas-omp4	ep_	4	0	ecopy	-	65536	5	17.7223	25.6438
parallel-blas-omp1	par_	1	0	ecopy	-	64	5	63.1903	21.0685
parallel-blas-omp1	par_	1	0	ecopy	-	128	5	122.5083	23.2978
parallel-blas-omp1	par_	1	0	ecopy	-	256	5	165.1073	24.7342
parallel-blas-omp1	par_	1	0	ecopy	-	512	5	211.1273	25.0663
parallel-blas-omp1	par_	1	0	ecopy	-	1024	5	142.7068	25.4848
parallel-blas-omp1	par_	1	0	ecopy	-	2048	5	103.9651	25.7740
parallel-blas-omp1	par_	1	0	ecopy	-	4096	5	92.8516	25.8189
parallel-blas-omp1	par_	1	0	ecopy	-	16384	5	69.5142	24.5029
parallel-blas-omp1	par_	1	0	ecopy	-	65536	5	66.5779	25.9494
parallel-blas-omp4	par_	4	0	ecopy	-	64	5	60.2472	21.1597
parallel-blas-omp4	par_	4	0	ecopy	-	128	5	117.7522	23.4844
parallel-blas-omp4	par_	4	0	ecopy	-	256	5	175.0466	24.7777
parallel-blas-omp4	par_	4	0	ecopy	-	512	5	208.3765	25.0075
parallel-blas-omp4	par_	4	0	ecopy	-	1024	5	141.9727	25.4844
parallel-blas-omp4	par_	4	0	ecopy	-	2048	5	103.9382	25.7146
parallel-blas-omp4	par_	4	0	ecopy	-	4096	5	101.6522	25.8137
parallel-blas-omp4	par_	4	0	ecopy	-	16384	5	69.7638	25.8933
parallel-blas-omp4	par_	4	0	ecopy	-	65536	5	66.9572	25.5572
