target	routine	key	size	iters	parallel_blas_GFs	migrated_GFs	ratio
kind10	easum	-	64	200	0.8978	0.9474	0.948
kind10	easum	-	128	200	0.9581	1.0017	0.956
kind10	easum	-	256	200	0.9746	1.0099	0.965
kind10	easum	-	512	200	0.9799	1.0358	0.946
kind10	easum	-	1024	200	0.9672	1.1269	0.858
kind10	easum	-	2048	200	0.9840	0.1697	5.799
kind10	easum	-	4096	200	0.9503	0.4572	2.079
kind10	easum	-	16384	200	0.6847	1.0285	0.666
kind10	easum	-	65536	200	0.9637	0.8539	1.129
kind10	eaxpy	-	64	200	1.0388	1.0216	1.017
kind10	eaxpy	-	128	200	0.9982	0.9901	1.008
kind10	eaxpy	-	256	200	1.0393	1.0543	0.986
kind10	eaxpy	-	512	200	1.0500	1.0412	1.008
kind10	eaxpy	-	1024	200	1.0443	0.9626	1.085
kind10	eaxpy	-	2048	200	1.0262	1.0103	1.016
kind10	eaxpy	-	4096	200	0.9759	1.0048	0.971
kind10	eaxpy	-	16384	200	0.9960	1.0039	0.992
kind10	eaxpy	-	65536	200	0.9423	0.9234	1.020
kind10	ecopy	-	64	200	71.3462	17.7101	4.029
kind10	ecopy	-	128	200	82.0679	15.0583	5.450
kind10	ecopy	-	256	200	89.6429	19.0660	4.702
kind10	ecopy	-	512	200	83.0263	18.5175	4.484
kind10	ecopy	-	1024	200	52.8457	17.0308	3.103
kind10	ecopy	-	2048	200	39.9913	16.7976	2.381
kind10	ecopy	-	4096	200	33.3261	16.7532	1.989
kind10	ecopy	-	16384	200	26.4654	15.2611	1.734
kind10	ecopy	-	65536	200	24.7435	14.1932	1.743
kind10	edot	-	64	200	1.6155	1.5286	1.057
kind10	edot	-	128	200	1.5251	1.6155	0.944
kind10	edot	-	256	200	1.5882	1.5758	1.008
kind10	edot	-	512	200	1.5905	1.5645	1.017
kind10	edot	-	1024	200	1.4917	1.5278	0.976
kind10	edot	-	2048	200	1.4593	1.5103	0.966
kind10	edot	-	4096	200	1.4026	1.4802	0.948
kind10	edot	-	16384	200	1.4032	1.4156	0.991
kind10	edot	-	65536	200	1.3457	1.3631	0.987
kind10	egbmv	N	128	200	0.9095	0.8929	1.019
kind10	egbmv	N	256	200	0.8540	0.8940	0.955
kind10	egbmv	N	512	200	0.8648	0.8797	0.983
kind10	egbmv	N	1024	200	0.8609	0.8721	0.987
kind10	egbmv	N/y2	128	200	0.7970	0.7925	1.006
kind10	egbmv	N/y2	256	200	0.7720	0.7703	1.002
kind10	egbmv	N/y2	512	200	0.7640	0.7548	1.012
kind10	egbmv	N/y2	1024	200	0.7517	0.7526	0.999
kind10	egbmv	N/y-1	128	200	0.7990	0.7853	1.017
kind10	egbmv	N/y-1	256	200	0.7705	0.7648	1.007
kind10	egbmv	N/y-1	512	200	0.7544	0.7669	0.984
kind10	egbmv	N/y-1	1024	200	0.7502	0.7560	0.992
kind10	egbmv	N/x2	128	200	0.9195	0.8829	1.041
kind10	egbmv	N/x2	256	200	0.8765	0.8775	0.999
