trans  size       overlay GFLOP/s   migrated GFLOP/s   speedup
NN       64          1.3480             1.8482       0.73x
NN      128          1.6110             1.9543       0.82x
NN      256          1.6267             1.9693       0.83x
NN      512          1.6318             1.9578       0.83x
NT       64          1.5847             1.9095       0.83x
NT      128          1.6118             1.9203       0.84x
NT      256          1.6274             1.9741       0.82x
NT      512          1.6314             1.9237       0.85x
NC       64          1.5873             1.9069       0.83x
NC      128          1.6223             1.9499       0.83x
NC      256          1.6175             1.9374       0.83x
NC      512          1.6317             1.9171       0.85x
TN       64          1.5861             2.6566       0.60x
TN      128          1.6062             2.7009       0.59x
TN      256          1.6129             2.6518       0.61x
TN      512          1.6213             2.5992       0.62x
TT       64          1.5695             2.5703       0.61x
TT      128          1.6224             2.6363       0.62x
TT      256          1.6153             2.1679       0.75x
TT      512          1.6297             1.6026       1.02x
TC       64          1.5831             2.4421       0.65x
TC      128          1.6005             2.4647       0.65x
TC      256          1.6214             2.0063       0.81x
TC      512          1.6310             1.5319       1.06x
CN       64          1.5871             2.4371       0.65x
CN      128          1.6188             2.4195       0.67x
CN      256          1.6252             2.4780       0.66x
CN      512          1.6324             2.4334       0.67x
CT       64          1.5867             2.3804       0.67x
CT      128          1.5918             2.4360       0.65x
CT      256          1.6178             2.0736       0.78x
CT      512          1.6215             1.4773       1.10x
CC       64          1.5826             2.2587       0.70x
CC      128          1.5853             2.2913       0.69x
CC      256          1.6236             2.1048       0.77x
CC      512          1.6320             1.4935       1.09x
wrote bench_ygemm.json
