trans  size       parallel-blas GFLOP/s   migrated GFLOP/s   speedup
NN      128          0.0498             0.0478       1.04x
NN      256          0.0534             0.0534       1.00x
NT      128          0.0522             0.0520       1.00x
NT      256          0.0539             0.0534       1.01x
NC      128          0.0512             0.0515       0.99x
NC      256          0.0538             0.0535       1.01x
TN      128          0.0579             0.0579       1.00x
TN      256          0.0590             0.0591       1.00x
TT      128          0.0573             0.0576       0.99x
TT      256          0.0589             0.0590       1.00x
TC      128          0.0576             0.0575       1.00x
TC      256          0.0587             0.0588       1.00x
CN      128          0.0579             0.0579       1.00x
CN      256          0.0590             0.0591       1.00x
CT      128          0.0577             0.0572       1.01x
CT      256          0.0589             0.0590       1.00x
CC      128          0.0574             0.0575       1.00x
CC      256          0.0587             0.0589       1.00x
wrote bench_xgemm.json
