trans  size       parallel-blas GFLOP/s   migrated GFLOP/s   speedup
NN       64          2.5164             0.1209      20.82x
NN      128          3.2587             0.1218      26.76x
NN      256          3.5779             0.1228      29.14x
NN      512          3.7276             0.1229      30.33x
NT       64          2.4523             0.1215      20.19x
NT      128          3.4922             0.1225      28.51x
NT      256          3.7066             0.1227      30.21x
NT      512          3.7721             0.1234      30.58x
NC       64          2.8515             0.1215      23.47x
NC      128          3.6016             0.1226      29.37x
NC      256          3.7488             0.1231      30.45x
NC      512          3.7714             0.1233      30.58x
TN       64          2.8300             0.1202      23.54x
TN      128          3.4383             0.1215      28.30x
TN      256          3.6848             0.1226      30.05x
TN      512          3.7178             0.1227      30.31x
TT       64          2.8384             0.1201      23.63x
TT      128          3.4275             0.1216      28.18x
TT      256          3.6754             0.1217      30.20x
TT      512          3.7295             0.1227      30.41x
TC       64          2.7860             0.1201      23.19x
TC      128          3.3997             0.1216      27.97x
TC      256          3.6760             0.1221      30.10x
TC      512          3.7285             0.1227      30.38x
CN       64          2.7733             0.1202      23.07x
CN      128          3.3696             0.1218      27.66x
CN      256          3.6729             0.1226      29.96x
CN      512          3.7166             0.1231      30.19x
CT       64          2.4462             0.1201      20.37x
CT      128          3.4017             0.1217      27.95x
CT      256          3.6888             0.1222      30.20x
CT      512          3.7303             0.1227      30.41x
CC       64          2.4905             0.1197      20.81x
CC      128          3.3797             0.1213      27.87x
CC      256          3.6852             0.1213      30.37x
CC      512          3.7311             0.1226      30.43x
wrote bench_mgemm.json
