trans  size       overlay GFLOP/s   migrated GFLOP/s   speedup
NN       64          3.1672             0.2124      14.91x
NN      128          3.5596             0.1921      18.53x
NN      256          3.7455             0.2132      17.56x
NN      512          3.8769             0.2152      18.01x
NT       64          3.1316             0.2103      14.89x
NT      128          3.7564             0.2110      17.80x
NT      256          3.8584             0.2117      18.23x
NT      512          3.8976             0.2120      18.39x
NC       64          3.3094             0.2097      15.78x
NC      128          3.7446             0.2100      17.83x
NC      256          3.8547             0.2112      18.25x
NC      512          2.7902             0.2112      13.21x
TN       64          3.1334             0.1991      15.74x
TN      128          3.7120             0.2000      18.56x
TN      256          3.8434             0.2008      19.14x
TN      512          3.8908             0.2017      19.29x
TT       64          3.1651             0.1987      15.93x
TT      128          3.7209             0.1990      18.70x
TT      256          3.8356             0.1999      19.18x
TT      512          3.8978             0.1954      19.94x
TC       64          3.2070             0.1889      16.98x
TC      128          3.7411             0.1896      19.73x
TC      256          3.8465             0.1893      20.32x
TC      512          3.8999             0.1859      20.98x
CN       64          3.1612             0.1878      16.83x
CN      128          3.6936             0.1895      19.49x
CN      256          3.8347             0.1900      20.18x
CN      512          3.8865             0.1895      20.51x
CT       64          3.0519             0.1874      16.29x
CT      128          3.7046             0.1906      19.44x
CT      256          3.8395             0.1896      20.25x
CT      512          3.8916             0.1841      21.14x
CC       64          3.1261             0.1815      17.22x
CC      128          3.6915             0.1791      20.61x
CC      256          3.8331             0.1726      22.21x
CC      512          2.7766             0.1563      17.77x
wrote bench_wgemm.json
