trans  size       parallel-blas GFLOP/s   migrated GFLOP/s   speedup
NN       64          1.7250             1.3386       1.29x
NN      128          2.4421             1.4056       1.74x
NN      256          2.5374             1.4021       1.81x
NN      512          2.5611             1.4271       1.79x
NT       64          2.3494             1.4190       1.66x
NT      128          2.4961             1.4151       1.76x
NT      256          2.5661             1.3681       1.88x
NT      512          2.5705             1.3645       1.88x
NC       64          2.3477             1.3805       1.70x
NC      128          2.4979             1.4558       1.72x
NC      256          2.5672             1.3625       1.88x
NC      512          2.5665             1.3728       1.87x
TN       64          2.1485             2.1931       0.98x
TN      128          2.2651             2.2429       1.01x
TN      256          2.3272             2.3064       1.01x
TN      512          2.3814             2.3705       1.00x
TT       64          2.2759             2.0981       1.08x
TT      128          2.4569             1.9952       1.23x
TT      256          2.5496             1.3086       1.95x
TT      512          2.5800             0.7254       3.56x
TC       64          2.2637             2.0974       1.08x
TC      128          2.4560             1.9956       1.23x
TC      256          2.5495             1.3314       1.91x
TC      512          2.5786             0.7416       3.48x
CN       64          2.0744             2.3535       0.88x
CN      128          2.2634             2.2418       1.01x
CN      256          2.3347             2.3188       1.01x
CN      512          2.3840             2.3827       1.00x
CT       64          2.2671             2.0912       1.08x
CT      128          2.4530             1.9892       1.23x
CT      256          2.5472             1.3283       1.92x
CT      512          2.5808             0.7296       3.54x
CC       64          2.2614             2.0839       1.09x
CC      128          2.4530             1.9911       1.23x
CC      256          2.5460             1.2706       2.00x
CC      512          2.5709             0.7122       3.61x
wrote bench_egemm.json
