trans  size       overlay GFLOP/s   migrated GFLOP/s   speedup
NN       64          2.0645             1.9139       1.08x
NN      128          2.1131             1.9583       1.08x
NN      256          2.1190             1.9770       1.07x
NN      512          2.0896             1.9528       1.07x
NT       64          2.0740             1.9107       1.09x
NT      128          2.1055             1.9350       1.09x
NT      256          2.1048             1.9554       1.08x
NT      512          2.0494             1.9156       1.07x
NC       64          2.0642             1.9068       1.08x
NC      128          2.1004             1.9350       1.09x
NC      256          2.1028             1.9574       1.07x
NC      512          2.0413             1.9150       1.07x
TN       64          2.6046             2.6556       0.98x
TN      128          2.6825             2.7050       0.99x
TN      256          2.7070             2.7078       1.00x
TN      512          2.6628             2.6638       1.00x
TT       64          2.5288             2.5821       0.98x
TT      128          2.6178             2.6392       0.99x
TT      256          2.0881             2.1108       0.99x
TT      512          1.5902             1.5357       1.04x
TC       64          2.4047             2.4423       0.98x
TC      128          2.4651             2.4830       0.99x
TC      256          2.0807             2.1010       0.99x
TC      512          1.7050             1.6437       1.04x
CN       64          2.4149             2.4421       0.99x
CN      128          2.4692             2.4824       0.99x
CN      256          2.4823             2.4915       1.00x
CN      512          2.4549             2.4602       1.00x
CT       64          2.3482             2.3778       0.99x
CT      128          2.3781             2.3889       1.00x
CT      256          2.1702             2.1599       1.00x
CT      512          1.7298             1.6714       1.03x
CC       64          2.2225             2.2581       0.98x
CC      128          2.2650             2.2937       0.99x
CC      256          2.0484             2.1135       0.97x
CC      512          1.6850             1.6787       1.00x
wrote bench_ygemm.json
