trans  size       parallel-blas GFLOP/s   migrated GFLOP/s   speedup
NN       64          0.0541             0.0526       1.03x
NN      128          0.0555             0.0542       1.02x
NN      256          0.0577             0.0556       1.04x
NN      512          0.0591             0.0582       1.02x
NT       64          0.0541             0.0526       1.03x
NT      128          0.0560             0.0550       1.02x
NT      256          0.0579             0.0567       1.02x
NT      512          0.0593             0.0581       1.02x
NC       64          0.0540             0.0524       1.03x
NC      128          0.0563             0.0548       1.03x
NC      256          0.0580             0.0566       1.02x
NC      512          0.0593             0.0580       1.02x
TN       64          0.0584             0.0582       1.00x
TN      128          0.0603             0.0603       1.00x
TN      256          0.0617             0.0619       1.00x
TN      512          0.0628             0.0630       1.00x
TT       64          0.0579             0.0583       0.99x
TT      128          0.0600             0.0603       0.99x
TT      256          0.0605             0.0603       1.00x
TT      512          0.0586             0.0615       0.95x
TC       64          0.0580             0.0582       1.00x
TC      128          0.0598             0.0603       0.99x
TC      256          0.0606             0.0616       0.98x
TC      512          0.0586             0.0614       0.95x
CN       64          0.0582             0.0582       1.00x
CN      128          0.0601             0.0602       1.00x
CN      256          0.0612             0.0613       1.00x
CN      512          0.0629             0.0631       1.00x
CT       64          0.0582             0.0580       1.00x
CT      128          0.0591             0.0601       0.98x
CT      256          0.0606             0.0606       1.00x
CT      512          0.0585             0.0616       0.95x
CC       64          0.0580             0.0582       1.00x
CC      128          0.0602             0.0604       1.00x
CC      256          0.0606             0.0616       0.98x
CC      512          0.0585             0.0610       0.96x
wrote bench_qgemm.json
