trans  size       parallel-blas GFLOP/s   migrated GFLOP/s   speedup
NN       64          0.0504             0.0501       1.01x
NN      128          0.0519             0.0513       1.01x
NN      256          0.0536             0.0528       1.02x
NN      512          0.0552             0.0548       1.01x
NT       64          0.0504             0.0503       1.00x
NT      128          0.0522             0.0518       1.01x
NT      256          0.0537             0.0537       1.00x
NT      512          0.0551             0.0547       1.01x
NC       64          0.0506             0.0503       1.01x
NC      128          0.0523             0.0519       1.01x
NC      256          0.0537             0.0537       1.00x
NC      512          0.0551             0.0547       1.01x
TN       64          0.0561             0.0562       1.00x
TN      128          0.0578             0.0580       1.00x
TN      256          0.0591             0.0588       1.00x
TN      512          0.0598             0.0598       1.00x
TT       64          0.0558             0.0563       0.99x
TT      128          0.0578             0.0579       1.00x
TT      256          0.0589             0.0589       1.00x
TT      512          0.0593             0.0594       1.00x
TC       64          0.0561             0.0562       1.00x
TC      128          0.0577             0.0576       1.00x
TC      256          0.0589             0.0589       1.00x
TC      512          0.0595             0.0594       1.00x
CN       64          0.0562             0.0563       1.00x
CN      128          0.0579             0.0578       1.00x
CN      256          0.0591             0.0592       1.00x
CN      512          0.0599             0.0600       1.00x
CT       64          0.0560             0.0562       1.00x
CT      128          0.0578             0.0577       1.00x
CT      256          0.0590             0.0590       1.00x
CT      512          0.0593             0.0595       1.00x
CC       64          0.0559             0.0559       1.00x
CC      128          0.0576             0.0576       1.00x
CC      256          0.0589             0.0590       1.00x
CC      512          0.0594             0.0590       1.01x
wrote bench_xgemm.json
