trans  size       overlay GFLOP/s   migrated GFLOP/s   speedup
NN       64          2.9345             0.2105      13.94x
NN      128          3.5227             0.2124      16.59x
NN      256          3.7761             0.2134      17.70x
NT       64          3.2317             0.2072      15.59x
NT      128          3.6857             0.2086      17.67x
NT      256          3.7981             0.2099      18.10x
NC       64          3.2450             0.2095      15.49x
NC      128          3.6648             0.2081      17.61x
NC      256          3.8056             0.2091      18.20x
TN       64          3.1948             0.1988      16.07x
TN      128          3.6665             0.1987      18.45x
TN      256          3.7982             0.1989      19.09x
TT       64          3.2346             0.1990      16.25x
TT      128          3.6836             0.1973      18.67x
TT      256          3.7963             0.1971      19.26x
TC       64          3.2068             0.1887      17.00x
TC      128          3.6849             0.1864      19.77x
TC      256          3.7935             0.1872      20.26x
CN       64          3.2147             0.1878      17.12x
CN      128          3.6491             0.1870      19.51x
CN      256          3.7758             0.1871      20.19x
CT       64          3.2062             0.1892      16.94x
CT      128          3.6561             0.1889      19.36x
CT      256          3.7789             0.1817      20.80x
CC       64          3.1308             0.1798      17.41x
CC      128          3.6063             0.1695      21.28x
CC      256          3.7999             0.1704      22.31x
wrote bench_wgemm.json
